Image,BlockSize,T,CR_DCT,CR_PNG,PSNR_Y
1,16,T75,254.509,5.983,23.798
1,16,T78,252.385,5.838,23.861
1,16,T81,249.344,5.616,23.982
1,16,T84,243.026,5.399,24.187
1,16,T87,226.899,4.990,24.444
1,16,T90,200.723,4.552,24.889
1,16,T93,168.835,4.009,25.388
1,16,T96,99.953,3.225,26.651
1,16,T99,33.002,2.074,30.378
1,32,T75,998.010,8.888,21.445
1,32,T78,985.504,8.379,21.500
1,32,T81,966.133,7.805,21.696
1,32,T84,936.229,7.165,21.967
1,32,T87,838.414,6.569,22.169
1,32,T90,676.792,5.551,22.612
1,32,T93,460.980,4.779,23.094
1,32,T96,203.633,3.440,24.477
1,32,T99,38.979,1.865,28.904
1,64,T75,3971.879,14.532,18.992
1,64,T78,3971.879,13.264,18.996
1,64,T81,3855.059,12.092,19.066
1,64,T84,3542.486,8.610,19.332
1,64,T87,3304.336,7.362,19.737
1,64,T90,2221.559,5.795,20.315
1,64,T93,1159.929,4.321,21.356
1,64,T96,345.229,3.163,22.755
1,64,T99,43.681,1.666,27.572
1,8,T75,63.658,3.431,26.001
1,8,T78,63.473,3.410,26.094
1,8,T81,63.147,3.379,26.179
1,8,T84,62.218,3.294,26.323
1,8,T87,60.532,3.197,26.547
1,8,T90,57.162,3.042,27.080
1,8,T93,52.324,2.852,27.861
1,8,T96,42.290,2.580,29.199
1,8,T99,23.779,2.025,32.409
2,16,T75,254.509,8.465,22.883
2,16,T78,253.198,8.251,22.939
2,16,T81,251.578,8.041,22.996
2,16,T84,243.628,7.620,23.125
2,16,T87,230.490,7.204,23.239
2,16,T90,196.314,6.253,23.533
2,16,T93,138.408,5.097,24.033
2,16,T96,69.387,3.607,24.981
2,16,T99,11.856,1.697,28.840
2,32,T75,1016.062,14.972,21.662
2,32,T78,1016.062,14.972,21.662
2,32,T81,1016.062,14.972,21.662
2,32,T84,1000.550,14.104,21.807
2,32,T87,901.872,12.725,21.961
2,32,T90,654.270,9.726,22.218
2,32,T93,377.367,7.125,22.718
2,32,T96,116.612,3.999,23.811
2,32,T99,12.476,1.640,27.968
2,64,T75,4096.000,30.748,20.140
2,64,T78,4053.773,28.019,20.152
2,64,T81,3932.160,22.492,20.398
2,64,T84,3893.228,22.355,20.515
2,64,T87,3607.486,20.554,20.643
2,64,T90,2427.259,15.106,20.876
2,64,T93,775.574,8.573,21.394
2,64,T96,175.465,4.433,22.547
2,64,T99,12.963,1.553,27.219
2,8,T75,63.772,4.577,24.244
2,8,T78,63.679,4.558,24.262
2,8,T81,63.137,4.482,24.338
2,8,T84,62.041,4.336,24.478
2,8,T87,59.237,4.107,24.704
2,8,T90,55.026,3.861,25.047
2,8,T93,48.307,3.517,25.518
2,8,T96,34.496,2.936,26.459
2,8,T99,10.457,1.695,29.966
3,16,T75,228.084,6.344,15.767
3,16,T78,209.269,5.766,15.850
3,16,T81,174.840,4.522,16.100
3,16,T84,124.239,3.402,16.464
3,16,T87,84.599,2.692,16.938
3,16,T90,52.569,2.095,17.625
3,16,T93,28.666,1.640,18.745
3,16,T96,14.301,1.297,20.787
3,16,T99,4.455,1.012,26.278
3,32,T75,824.352,9.248,14.788
3,32,T78,720.176,7.678,14.905
3,32,T81,555.390,5.870,15.083
3,32,T84,310.597,4.025,15.443
3,32,T87,165.495,2.892,15.916
3,32,T90,88.542,2.186,16.697
3,32,T93,41.400,1.677,17.878
3,32,T96,16.939,1.267,19.992
3,32,T99,4.623,0.974,25.737
3,64,T75,3304.336,13.655,13.818
3,64,T78,2604.079,9.800,13.962
3,64,T81,1585.548,6.965,14.209
3,64,T84,744.727,4.663,14.593
3,64,T87,375.564,3.318,15.070
3,64,T90,169.636,2.393,15.908
3,64,T93,59.660,1.687,17.253
3,64,T96,19.448,1.250,19.462
3,64,T99,4.657,0.945,25.436
3,8,T75,59.041,3.782,17.191
3,8,T78,55.657,3.500,17.311
3,8,T81,51.267,3.148,17.520
3,8,T84,44.694,2.747,17.857
3,8,T87,36.698,2.313,18.347
3,8,T90,27.242,1.930,19.181
3,8,T93,18.854,1.605,20.394
3,8,T96,11.217,1.331,22.200
3,8,T99,4.165,1.054,27.488
4,16,T75,253.524,8.235,20.588
4,16,T78,252.062,8.112,20.612
4,16,T81,248.556,7.762,20.657
4,16,T84,239.037,7.407,20.747
4,16,T87,217.969,6.619,20.899
4,16,T90,177.685,5.716,21.179
4,16,T93,100.747,4.092,21.749
4,16,T96,39.416,2.824,23.093
4,16,T99,7.835,1.415,27.649
4,32,T75,1016.062,15.038,19.494
4,32,T78,1000.550,14.140,19.600
4,32,T81,968.512,12.695,19.843
4,32,T84,899.808,11.426,20.125
4,32,T87,840.205,10.861,20.230
4,32,T90,681.484,8.840,20.400
4,32,T93,279.075,5.621,20.887
4,32,T96,63.188,3.242,21.889
4,32,T99,8.039,1.369,26.645
4,64,T75,4096.000,28.818,18.215
4,64,T78,4096.000,28.818,18.215
4,64,T81,4096.000,28.818,18.215
4,64,T84,3817.631,19.992,18.754
4,64,T87,2891.294,14.934,18.990
4,64,T90,1854.792,12.054,19.651
4,64,T93,604.018,7.916,19.869
4,64,T96,93.025,3.892,20.964
4,64,T99,8.201,1.319,25.341
4,8,T75,63.617,4.390,21.622
4,8,T78,63.442,4.355,21.632
4,8,T81,62.445,4.222,21.694
4,8,T84,61.163,4.066,21.862
4,8,T87,55.767,3.796,22.041
4,8,T90,47.513,3.449,22.712
4,8,T93,39.010,2.949,23.420
4,8,T96,24.428,2.365,24.499
4,8,T99,7.200,1.410,28.774
